Contemporary R&B,2018,5
Reggaeton,2018,3
Trap,2018,2
Pop,2018,2
Holiday,2018,2
Dance-Pop,2018,2
Pop Rap,2018,2
Indie Pop,2018,1
Contemporary R&B,2019,6
Reggaeton,2019,3
Pop Rap,2019,3
Pop,2019,2
Dance-Pop,2019,2
Rap,2019,1
Trap,2019,1
Sertanejo,2019,1
Trap,2020,7
Pop,2020,4
Contemporary R&B,2020,3
Reggaeton,2020,2
Other Electronic,2020,1
Pop Rap,2020,1
Holiday,2020,1
Dance-Pop,2021,4
Reggaeton,2021,3
Pop,2021,2
Trap,2021,2
Holiday,2021,2
Country/Folk,2021,1
Pop Rap,2021,1
Other Electronic,2021,1
Rap,2021,1
Soul,2021,1
Rock,2021,1
Alternative Pop,2022,7
Pop,2022,5
Trap,2022,3
Reggaeton,2022,3
Funk,2022,1
